data;produto;operacao_comercial;importado/exportado;dispendio/receita
01/01/2012;ETANOL HIDRATADO;IMPORTAÇÃO;86727;261499
01/01/2012;ETANOL HIDRATADO;EXPORTAÇÃO;23240019;17802653
01/01/2012;ETANOL ANIDRO;EXPORTAÇÃO;42469904;38608035
01/01/2012;ETANOL ANIDRO;IMPORTAÇÃO;144002649;99415439
01/02/2012;ETANOL HIDRATADO;IMPORTAÇÃO;19964;51772
01/02/2012;ETANOL ANIDRO;IMPORTAÇÃO;137736381;95486341
01/02/2012;ETANOL HIDRATADO;EXPORTAÇÃO;37702;31865994
01/02/2012;ETANOL ANIDRO;EXPORTAÇÃO;43043;36375709
01/03/2012;ETANOL HIDRATADO;IMPORTAÇÃO;107187;281914
01/03/2012;ETANOL HIDRATADO;EXPORTAÇÃO;32544915;22724331
01/03/2012;ETANOL ANIDRO;EXPORTAÇÃO;41385079;37083572
01/03/2012;ETANOL ANIDRO;IMPORTAÇÃO;48723904;32776201
01/04/2012;ETANOL HIDRATADO;IMPORTAÇÃO;64435;179240
01/04/2012;ETANOL HIDRATADO;EXPORTAÇÃO;26110145;18469051
01/04/2012;ETANOL ANIDRO;EXPORTAÇÃO;38397357;29005781
01/04/2012;ETANOL ANIDRO;IMPORTAÇÃO;104340837;73275765
01/05/2012;ETANOL HIDRATADO;IMPORTAÇÃO;64309;210257
01/05/2012;ETANOL ANIDRO;IMPORTAÇÃO;39343108;26835789
01/05/2012;ETANOL HIDRATADO;EXPORTAÇÃO;40838313;28326925
01/05/2012;ETANOL ANIDRO;EXPORTAÇÃO;108380272;84907064
01/06/2012;ETANOL ANIDRO;IMPORTAÇÃO;7180952;4425082
01/06/2012;ETANOL HIDRATADO;EXPORTAÇÃO;38463751;30486373
01/06/2012;ETANOL ANIDRO;EXPORTAÇÃO;99541339;76203056
01/06/2012;ETANOL HIDRATADO;IMPORTAÇÃO;50;154329
01/07/2012;ETANOL HIDRATADO;IMPORTAÇÃO;21147;47534
01/07/2012;ETANOL ANIDRO;IMPORTAÇÃO;26714969;15469938
01/07/2012;ETANOL HIDRATADO;EXPORTAÇÃO;102502628;69010411
01/07/2012;ETANOL ANIDRO;EXPORTAÇÃO;308233731;235771947
01/08/2012;ETANOL HIDRATADO;IMPORTAÇÃO;70626;167042
01/08/2012;ETANOL ANIDRO;IMPORTAÇÃO;45163306;29035009
01/08/2012;ETANOL HIDRATADO;EXPORTAÇÃO;65235388;45034988
01/08/2012;ETANOL ANIDRO;EXPORTAÇÃO;251088364;179069921
01/09/2012;ETANOL ANIDRO;IMPORTAÇÃO;10885;116075
01/09/2012;ETANOL HIDRATADO;IMPORTAÇÃO;47755;91908
01/09/2012;ETANOL HIDRATADO;EXPORTAÇÃO;187096731;133183809
01/09/2012;ETANOL ANIDRO;EXPORTAÇÃO;265634253;197987630
01/10/2012;ETANOL ANIDRO;IMPORTAÇÃO;4317;51449
01/10/2012;ETANOL HIDRATADO;IMPORTAÇÃO;44689;129953
01/10/2012;ETANOL HIDRATADO;EXPORTAÇÃO;194938064;126395985
01/10/2012;ETANOL ANIDRO;EXPORTAÇÃO;302154379;223821597
01/11/2012;ETANOL ANIDRO;IMPORTAÇÃO;10764;76628
01/11/2012;ETANOL HIDRATADO;IMPORTAÇÃO;48715;175898
01/11/2012;ETANOL HIDRATADO;EXPORTAÇÃO;124139351;76932750
01/11/2012;ETANOL ANIDRO;EXPORTAÇÃO;196117715;139477497
01/12/2012;ETANOL ANIDRO;IMPORTAÇÃO;4562;36158
01/12/2012;ETANOL HIDRATADO;IMPORTAÇÃO;24168;27691
01/12/2012;ETANOL HIDRATADO;EXPORTAÇÃO;213683449;127670809
01/12/2012;ETANOL ANIDRO;EXPORTAÇÃO;249442;163571473
01/01/2013;ETANOL ANIDRO;IMPORTAÇÃO;14504951;9543617
01/01/2013;ETANOL ANIDRO;EXPORTAÇÃO;172721;117491306
01/01/2013;ETANOL HIDRATADO;EXPORTAÇÃO;179411;112792476
01/01/2013;ETANOL HIDRATADO;IMPORTAÇÃO;49;197923
01/02/2013;ETANOL HIDRATADO;IMPORTAÇÃO;70582;280186
01/02/2013;ETANOL ANIDRO;IMPORTAÇÃO;8764979;5755180
01/02/2013;ETANOL HIDRATADO;EXPORTAÇÃO;103192127;62372945
01/02/2013;ETANOL ANIDRO;EXPORTAÇÃO;105296423;74421816
01/03/2013;ETANOL HIDRATADO;IMPORTAÇÃO;98951;336400
01/03/2013;ETANOL HIDRATADO;EXPORTAÇÃO;25823789;16905926
01/03/2013;ETANOL ANIDRO;IMPORTAÇÃO;59564054;39799468
01/03/2013;ETANOL ANIDRO;EXPORTAÇÃO;48088;33884514
01/04/2013;ETANOL HIDRATADO;IMPORTAÇÃO;24743;44494
01/04/2013;ETANOL ANIDRO;IMPORTAÇÃO;14200643;9664990
01/04/2013;ETANOL HIDRATADO;EXPORTAÇÃO;14490489;9352508
01/04/2013;ETANOL ANIDRO;EXPORTAÇÃO;88805513;62525047
01/05/2013;ETANOL ANIDRO;IMPORTAÇÃO;5883;30655
01/05/2013;ETANOL HIDRATADO;IMPORTAÇÃO;24467;46724
01/05/2013;ETANOL ANIDRO;EXPORTAÇÃO;110496327;77517534
01/05/2013;ETANOL HIDRATADO;EXPORTAÇÃO;30663;16418738
01/06/2013;ETANOL HIDRATADO;IMPORTAÇÃO;24592;35349
01/06/2013;ETANOL ANIDRO;IMPORTAÇÃO;15128201;12060811
01/06/2013;ETANOL HIDRATADO;EXPORTAÇÃO;103236547;63202079
01/06/2013;ETANOL ANIDRO;EXPORTAÇÃO;177449;125272415
01/07/2013;ETANOL HIDRATADO;IMPORTAÇÃO;97121;291655
01/07/2013;ETANOL ANIDRO;IMPORTAÇÃO;10099009;8694268
01/07/2013;ETANOL HIDRATADO;EXPORTAÇÃO;90358921;56802975
01/07/2013;ETANOL ANIDRO;EXPORTAÇÃO;263072798;166649965
01/08/2013;ETANOL HIDRATADO;EXPORTAÇÃO;94403433;57459830
01/08/2013;ETANOL ANIDRO;EXPORTAÇÃO;395400674;256873919
01/08/2013;ETANOL HIDRATADO;IMPORTAÇÃO;1;7034
01/08/2013;ETANOL ANIDRO;IMPORTAÇÃO;1;8532
01/09/2013;ETANOL ANIDRO;IMPORTAÇÃO;6103;47651
01/09/2013;ETANOL HIDRATADO;EXPORTAÇÃO;115838513;68594765
01/09/2013;ETANOL ANIDRO;EXPORTAÇÃO;181164007;113662886
01/09/2013;ETANOL HIDRATADO;IMPORTAÇÃO;50;126897
01/10/2013;ETANOL HIDRATADO;IMPORTAÇÃO;2236;20239
01/10/2013;ETANOL HIDRATADO;EXPORTAÇÃO;161414721;95125205
01/10/2013;ETANOL ANIDRO;EXPORTAÇÃO;175591833;109273664
01/10/2013;ETANOL ANIDRO;IMPORTAÇÃO;1;4758
01/11/2013;ETANOL ANIDRO;IMPORTAÇÃO;18505;41306
01/11/2013;ETANOL ANIDRO;EXPORTAÇÃO;61481147;40672512
01/11/2013;ETANOL HIDRATADO;EXPORTAÇÃO;122145833;73170699
01/11/2013;ETANOL HIDRATADO;IMPORTAÇÃO;0;5890
01/12/2013;ETANOL ANIDRO;IMPORTAÇÃO;8971595;4552560
01/12/2013;ETANOL ANIDRO;EXPORTAÇÃO;26419238;16626585
01/12/2013;ETANOL HIDRATADO;EXPORTAÇÃO;69596688;41868958
01/12/2013;ETANOL HIDRATADO;IMPORTAÇÃO;3;32738
01/01/2014;ETANOL HIDRATADO;IMPORTAÇÃO;1248;15768
